Country,Commitment in U.A,Status,Source of Financing,Sector
Multinational,680427.98,Implementation,NEPAD Infrastructure Project Preparation Facility,Power
Nigeria,113351268.02,Implementation,African Development Bank,Power
South Africa,55131668.31,Implementation,African Development Bank,Power
Senegal,41928755.47,Implementation,African Development Bank,Power
Kenya,13295673.24,Approved,African Development Bank,Power
Côte d'Ivoire,34632637.02,Implementation,African Development Bank,Power
Senegal,29729552.75,Implementation,,Power
,,,,
Rwanda,188185442.2,Implementation,African Development Bank,Power
South Africa,118923507.38,Implementation,African Development Bank,Power
"Tanzania, United Republic of",93624092.33,Implementation,African Development Bank,Power
Guinea-Bissau,20000000.0,Implementation,,Power
Multinational,752009.67,Implementation,Fund for African Private Sector Assistance,Power
Kenya,22383586.38,Implementation,African Development Bank,Power
Sao Tome and Principe,1060000.0,Completion,Sustainable Energy Fund for Africa,Power
Djibouti,10506200.74,Completion,African Development Fund,Power
Multinational,182971242.48,Implementation,African Development Bank,Power
Multinational,74723245.35,Implementation,African Development Fund,Power
Multinational,27500000.0,Implementation,Transition Support Facility,Power
Multinational,50000000.0,Implementation,African Development Fund,Power
Multinational,32358413.85,Implementation,African Development Fund,Power
Multinational,52137809.91,Implementation,African Development Fund,Power
Benin,11610000.0,Implementation,,Power
Morocco,54409802.71,Approved,African Development Bank,Power
Côte d'Ivoire,32741798.18,Implementation,African Development Bank,Power
Mali,20000000.0,Implementation,African Development Fund,Power
Cameroon,106130246.3,Implementation,African Development Bank,Power
Ethiopia,72230000.0,Implementation,,Power
,,,,
Madagascar,1000000.0,Completion,,Power
Uganda,48439129.17,Implementation,African Development Bank,Power
Egypt,9023370.53,Implementation,African Development Bank,Power
Egypt,9624928.57,Completion,African Development Bank,Power
Egypt,9775318.07,Completion,African Development Bank,Power
Lesotho,518001.58,Completion,Sustainable Energy Fund for Africa,Power
Togo,982762.31,Completion,Sustainable Energy Fund for Africa,Power
Zimbabwe,5212719.95,Implementation,Zimbabwe Multi-donor Trust Fund,Power
Benin,19920000.0,Completion,African Development Fund,Power
South Sudan,10610000.0,Implementation,Transition Support Facility,Power
Rwanda,2218582.7,Completion,African Development Fund,Power
Multinational,701961.28,Implementation,NEPAD Infrastructure Project Preparation Facility,Power
Sierra Leone,35009000.0,Implementation,,Power
Zimbabwe,13540000.0,Implementation,,Power
Uganda,14226299.53,Completion,African Development Bank,Power
Lesotho,7780000.0,Implementation,African Development Fund,Power
Multinational,22678822.52,Implementation,African Development Bank,Power
Multinational,15119215.01,Implementation,African Development Bank,Power
Liberia,28828830.24,Implementation,,Power
Niger,51720000.0,Implementation,,Power
,,,,
"Congo, the Democratic Republic of the",96100000.0,Implementation,African Development Fund,Power
Multinational,1362143.87,Implementation,NEPAD Infrastructure Project Preparation Facility,Power
Madagascar,13770000.0,Completion,African Development Fund,Power
Multinational,1389883.33,Implementation,NEPAD Infrastructure Project Preparation Facility,Power
Côte d'Ivoire,111565330.72,Implementation,African Development Bank,Power
Multinational,985725.28,Completion,,Power
Mali,6660975.57,Cancelled,African Development Bank,Power
Burkina Faso,27230000.0,Implementation,,Power
Ethiopia,79051174.32,Implementation,African Development Bank,Power
Multinational,8040000.0,Implementation,African Development Fund,Power
Kenya,101782555.45,Completion,,Power
Multinational,60000000.0,Implementation,Transition Support Facility,Power
Multinational,19290000.0,Implementation,African Development Fund,Power
Multinational,16000000.0,Approved,African Development Fund,Power
Multinational,1710000.0,Implementation,African Development Fund,Power
Multinational,1500000.0,Implementation,African Development Fund,Power
South Africa,218082224.52,Completion,African Development Bank,Power
South Africa,7559607.51,Completion,African Development Bank,Power
Senegal,4009398.03,Implementation,African Development Bank,Power
Comoros,2000000.0,Implementation,Transition Support Facility,Power
,,,,
Multinational,3750000.0,Implementation,,Power
Multinational,46250000.0,Implementation,,Power
Multinational,4500000.0,Implementation,,Power
Multinational,42500000.0,Implementation,,Power
Uganda,84698276.3,Implementation,,Power
Multinational,1495643.79,Implementation,NEPAD Infrastructure Project Preparation Facility,Power
Burkina Faso,20000000.0,Completion,African Development Fund,Power
Guinea-Bissau,13300000.0,Implementation,,Power
Multinational,8300000.0,Implementation,African Development Fund,Power
Tunisia,40166227.51,Implementation,,Power
Multinational,75290000.0,Implementation,African Development Fund,Power
Multinational,27500000.0,Implementation,African Development Fund,Power
Multinational,25200000.0,Implementation,African Development Fund,Power
Multinational,23260000.0,Implementation,African Development Fund,Power
Eswatini,717652.0,Completion,,Power
Morocco,58445030.97,Completion,,Power
Morocco,22997379.94,Completion,,Power
Kenya,90000000.0,Implementation,African Development Fund,Power
Multinational,432144.11,Cancelled,NEPAD Infrastructure Project Preparation Facility,Power
Tunisia,55567903.98,Completion,African Development Bank,Power
,,,,
Mauritius,70114455.8,Completion,African Development Bank,Power
Burundi,14340000.0,Implementation,,Power
South Africa,34009048.77,Completion,African Development Bank,Power
Nigeria,229021619.64,Completion,African Development Bank,Power
Angola,755675120.15,Completion,African Development Bank,Power
Burundi,414000.0,Completion,Transition Support Facility,Power
Multinational,4272294.1,Completion,NEPAD Infrastructure Project Preparation Facility,Power
Ghana,26765981.6,Completion,African Development Fund,Power
Multinational,9950000.0,Implementation,,Power
Zimbabwe,10024459.46,Completion,Zimbabwe Multi-donor Trust Fund,Power
Zimbabwe,3302741.78,Completion,Zimbabwe Multi-donor Trust Fund,Power
South Sudan,16960000.0,Completion,African Development Fund,Power
Multinational,25384000.0,Completion,,Power
Multinational,17386000.0,Implementation,,Power
Multinational,27089758.55,Implementation,,Power
Multinational,44409000.0,Implementation,,Power
Multinational,26173000.0,Completion,African Development Fund,Power
Multinational,7295224.39,Completion,,Power
Multinational,21319021.4,Completion,,Power
Multinational,29744000.0,Completion,,Power
,,,,
Multinational,721000.0,Completion,African Development Fund,Power
Multinational,703000.0,Completion,African Development Fund,Power
Multinational,781000.0,Completion,African Development Fund,Power
Multinational,6106000.0,Implementation,African Development Fund,Power
Multinational,17958000.0,Implementation,African Development Fund,Power
Multinational,13067449.55,Implementation,African Development Fund,Power
Multinational,10275000.0,Implementation,African Development Fund,Power
Multinational,1250000.0,Completion,African Development Fund,Power
Multinational,1064039.15,Completion,African Development Fund,Power
Guinea,10999770.56,Completion,African Development Fund,Power
Comoros,13380000.0,Implementation,African Development Fund,Power
Multinational,1487729.95,Completion,NEPAD Infrastructure Project Preparation Facility,Power
Multinational,1443251.36,Completion,NEPAD Infrastructure Project Preparation Facility,Power
Côte d'Ivoire,40435289.75,Completion,African Development Bank,Power
Djibouti,3794423.16,Completion,,Power
Rwanda,27342093.68,Completion,,Power
"Congo, the Democratic Republic of the",1500000.0,Completion,Transition Support Facility,Power
Kenya,93942734.96,Completion,African Development Bank,Power
Kenya,4084466.36,Completion,African Development Bank,Power
Kenya,16337867.09,Completion,African Development Bank,Power
,,,,
"Congo, the Democratic Republic of the",1995000.0,Completion,Transition Support Facility,Power
Malawi,2000000.0,Completion,African Development Fund,Power
Nigeria,82587969.55,Completion,African Development Bank,Power
Côte d'Ivoire,27408687.5,Completion,African Development Bank,Power
Multinational,1369139.12,Completion,NEPAD Infrastructure Project Preparation Facility,Power
Congo,10000000.0,Cancelled,,Power
Multinational,150000000.0,Implementation,,Power
Multinational,29730000.0,Implementation,African Development Fund,Power
Multinational,75000000.0,Completion,,Power
Multinational,5550000.0,Completion,African Development Fund,Power
Ghana,16546542.74,Implementation,African Development Bank,Power
Morocco,110089947.57,Implementation,African Development Bank,Power
Morocco,40744151.18,Implementation,African Development Bank,Power
Morocco,108974984.55,Implementation,African Development Bank,Power
Zambia,36400000.0,Implementation,African Development Fund,Power
Zambia,26309703.94,Completion,African Development Bank,Power
Morocco,82133499.79,Completion,,Power
Multinational,523123.04,Completion,,Power
Kenya,78093154.27,Completion,African Development Fund,Power
Kenya,23013357.58,Completion,African Development Bank,Power
,,,,
Cameroon,44930000.0,Implementation,,Power
Cape Verde,49442063.62,Completion,,Power
Cameroon,22647258.23,Completion,African Development Bank,Power
Uganda,2993899.93,Completion,African Development Bank,Power
Zimbabwe,22281998.39,Completion,Zimbabwe Multi-donor Trust Fund,Power
South Africa,6877448.26,Completion,African Development Bank,Power
Egypt,490400.0,Completion,Middle Income Countries Fund,Power
Egypt,494000.0,Completion,Middle Income Countries Fund,Power
Rwanda,18774406.73,Completion,African Development Bank,Power
Guinea,14960000.0,Completion,African Development Fund,Power
Multinational,2480255.93,Completion,African Development Fund,Power
"Congo, the Democratic Republic of the",69690000.0,Completion,,Power
Egypt,303938803.09,Completion,African Development Bank,Power
Ethiopia,148156558.84,Completion,,Power
Kenya,43648387.28,Completion,,Power
"Tanzania, United Republic of",83178749.98,Completion,,Power
Sierra Leone,697291.29,Completion,Nigerian Trust Fund,Power
Cameroon,51238951.7,Completion,,Power
Multinational,651856.49,Completion,NEPAD Infrastructure Project Preparation Facility,Power
Burkina Faso,24521638.96,Completion,,Power
,,,,
Multinational,21416407.12,Completion,,Power
,,,,
Cape Verde,11623251.66,Completion,African Development Bank,Power
Cameroon,16963068.46,Completion,African Development Bank,Power
Egypt,150389508.83,Completion,African Development Bank,Power
Egypt,17967643.87,Completion,African Development Bank,Power
Tunisia,106656048.46,Completion,African Development Bank,Power
Morocco,67620685.32,Completion,African Development Bank,Power
Senegal,44818566.3,Implementation,African Development Bank,Power
South Africa,1193311673.29,Completion,,Power
Botswana,600000.0,Completion,Middle Income Countries Fund,Power
Botswana,33989569.86,Completion,,Power
Nigeria,100000000.0,Completion,African Development Fund,Power
Tunisia,34130565.76,Completion,,Power
Kenya,30386965.42,Completion,,Power
Lesotho,10850690.65,Completion,,Power
Egypt,294106559.71,Completion,African Development Bank,Power
Uganda,43940800.0,Completion,,Power
Multinational,2663526.73,Completion,,Power
Multinational,30470000.0,Completion,,Power
,,,,
Multinational,43640334.43,Completion,,Power
Multinational,14650000.0,Implementation,,Power
Multinational,27620000.0,Implementation,,Power
Guinea,12000000.0,Completion,African Development Fund,Power
Sierra Leone,6654697.19,Completion,,Power
Multinational,4558109.2,Completion,,Power
Multinational,15720000.0,Completion,African Development Fund,Power
Uganda,6785539.26,Completion,African Development Bank,Power
Multinational,9510000.0,Completion,,Power
Cape Verde,34558932.02,Completion,,Power
"Congo, the Democratic Republic of the",35700000.0,Completion,,Power
Morocco,124125831.13,Completion,African Development Bank,Power
"Tanzania, United Republic of",22879520.01,Completion,African Development Fund,Power
Ghana,21937596.54,Completion,African Development Fund,Power
Egypt,190091132.6,Completion,,Power
Burundi,7320000.0,Completion,,Power
Madagascar,5019828.32,Completion,African Development Bank,Power
Uganda,41415777.34,Completion,,Power
South Africa,377837560.08,Completion,African Development Bank,Power
Uganda,79524012.64,Completion,African Development Bank,Power
,,,,
Multinational,521485.19,Cancelled,Fund for African Private Sector Assistance,Power
Multinational,14056859.49,Completion,African Development Fund,Power
Multinational,12431229.98,Completion,African Development Fund,Power
Ethiopia,86527633.72,Completion,,Power
Multinational,2080691.52,Completion,,Power
Mozambique,24510347.35,Completion,,Power
Cameroon,49114707.4,Completion,African Development Bank,Power
Egypt,141438424.08,Completion,African Development Bank,Power
Senegal,5974115.3,Completion,African Development Bank,Power
Morocco,111395939.29,Completion,African Development Bank,Power
Multinational,3409472.69,Completion,,Power
Multinational,20259287.1,Completion,,Power
Multinational,17185463.29,Completion,,Power
Senegal,5938233.14,Completion,African Development Fund,Power
Multinational,2625147.68,Completion,African Development Fund,Power
Tunisia,61279672.4,Completion,African Development Bank,Power
Mozambique,9855885.56,Completion,,Power
Multinational,1977281.57,Completion,,Power
